"name","n_kde_cells","n_na_cells","percent_na"
"Bjørnøya_NOS.4182533_2017",369,51,13.8211382113821
"Bjørnøya_NOS.4182533_2018",366,28,7.65027322404372
"Bjørnøya_NOS.4182534_2014",727,250,34.3878954607978
"Bjørnøya_NOS.4182534_2015",704,243,34.5170454545455
"Bjørnøya_NOS.4182534_2016",528,160,30.3030303030303
"Bjørnøya_NOS.4182534_2018",493,145,29.4117647058824
"Bjørnøya_NOS.4182535_2014",364,59,16.2087912087912
"Bjørnøya_NOS.4182535_2015",308,61,19.8051948051948
"Bjørnøya_NOS.4182537_2014",361,40,11.0803324099723
"Bjørnøya_NOS.4182537_2015",446,114,25.5605381165919
"Bjørnøya_NOS.4182537_2016",358,89,24.8603351955307
"Bjørnøya_NOS.4182537_2017",436,79,18.1192660550459
"Bjørnøya_NOS.4182538_2014",356,61,17.1348314606742
"Bjørnøya_NOS.4182538_2015",560,228,40.7142857142857
"Bjørnøya_NOS.4182539_2014",518,156,30.1158301158301
"Bjørnøya_NOS.4182539_2015",579,228,39.3782383419689
"Bjørnøya_NOS.4182539_2016",572,265,46.3286713286713
"Bjørnøya_NOS.4182541_2014",351,76,21.6524216524217
"Bjørnøya_NOS.4182541_2015",295,50,16.9491525423729
"Bjørnøya_NOS.4182541_2016",441,102,23.1292517006803
"Bjørnøya_NOS.4182542_2014",380,84,22.1052631578947
"Bjørnøya_NOS.4182542_2015",364,71,19.5054945054945
"Bjørnøya_NOS.4182543_2014",440,63,14.3181818181818
"Bjørnøya_NOS.4182544_2014",594,179,30.1346801346801
"Bjørnøya_NOS.4182544_2015",531,190,35.7815442561205
"Bjørnøya_NOS.4182545_2014",305,63,20.655737704918
"Bjørnøya_NOS.4182545_2015",532,143,26.8796992481203
"Bjørnøya_NOS.4182546_2014",545,196,35.9633027522936
"Bjørnøya_NOS.4182546_2015",460,180,39.1304347826087
"Bjørnøya_NOS.4182546_2016",504,154,30.5555555555556
"Bjørnøya_NOS.4182546_2017",728,234,32.1428571428571
"Bjørnøya_NOS.4182548_2014",369,73,19.7831978319783
"Bjørnøya_NOS.4182548_2015",398,97,24.3718592964824
"Bjørnøya_NOS.4182548_2016",324,65,20.0617283950617
"Bjørnøya_NOS.4182549_2014",518,103,19.8841698841699
"Bjørnøya_NOS.4182549_2015",482,106,21.9917012448133
"Bjørnøya_NOS.4182549_2016",559,103,18.4257602862254
"Bjørnøya_NOS.4182549_2017",547,107,19.5612431444241
"Bjørnøya_NOS.4214401_2014",398,55,13.8190954773869
"Bjørnøya_NOS.4214401_2016",470,78,16.5957446808511
"Bjørnøya_NOS.4214403_2015",613,242,39.4779771615008
"Bjørnøya_NOS.4214403_2016",661,300,45.3857791225416
"Bjørnøya_NOS.4214403_2017",563,149,26.4653641207815
"Bjørnøya_NOS.4214405_2016",497,75,15.0905432595573
"Bjørnøya_NOS.4214405_2017",406,64,15.7635467980296
"Bjørnøya_NOS.4214405_2018",395,88,22.2784810126582
"Bjørnøya_NOS.4214408_2015",484,114,23.5537190082645
"Bjørnøya_NOS.4214408_2016",471,68,14.4373673036093
